Αρχικό σήμα, FCS, Σήμα προς αποστολή, Λαμβανόμενο σήμα, Έλεγχος από τον αλγόριθμο, Πραγματικός έλεγχος, Bits που αλλοιώθηκαν
11001100010011010100, 01011, 1100110001001101010001011, 1100110001001101010001011, True, True, 0
10001100000100000101, 01111, 1000110000010000010101111, 1000110000010000010101111, True, True, 0
00100110110111001101, 00111, 0010011011011100110100111, 0010011011011100110100111, True, True, 0
10111010001100100110, 10100, 1011101000110010011010100, 1011101000110010011010100, True, True, 0
01010110011001100100, 01000, 0101011001100110010001000, 0101011001100110010001000, True, True, 0
01100001000010000010, 11010, 0110000100001000001011010, 0110000100001000001011010, True, True, 0
01000100011111100110, 10001, 0100010001111110011010001, 0100010001111110011010001, True, True, 0
00101010110101010000, 01111, 0010101011010101000001111, 0010101011010101000001111, True, True, 0
10100100001001111001, 01011, 1010010000100111100101011, 1010010000100111100101011, True, True, 0
00001010101011001110, 10101, 0000101010101100111010101, 0000101010101100111010101, True, True, 0
00101101011111111000, 00110, 0010110101111111100000110, 0010110101111111100000110, True, True, 0
11001010010100100011, 10011, 1100101001010010001110011, 1100101001010010001110011, True, True, 0
10100000111011111101, 01111, 1010000011101111110101111, 1010000011101111110101111, True, True, 0
01011010110111110001, 00011, 0101101011011111000100011, 0101101011011111000100011, True, True, 0
00011110000011100101, 11001, 0001111000001110010111001, 0001111000001110010111001, True, True, 0
00100110100000001011, 01101, 0010011010000000101101101, 0010011010000000101101101, True, True, 0
11010000011110110001, 10001, 1101000001111011000110001, 1101000001111011000110001, True, True, 0
01100011111011111000, 10010, 0110001111101111100010010, 0110001111101111100010010, True, True, 0
10010100010000100010, 01111, 1001010001000010001001111, 1001010001000010001001111, True, True, 0
11100000011100110010, 10011, 1110000001110011001010011, 1110000001110011001010011, True, True, 0
01100001100010001010, 01110, 0110000110001000101001110, 0110000110001000101001110, True, True, 0
00000110111001110100, 11010, 0000011011100111010011010, 0000011011100111010011010, True, True, 0
00000101001000101100, 10100, 0000010100100010110010100, 0000010100100010110010100, True, True, 0
11011010101000101100, 01111, 1101101010100010110001111, 0101101010100010110001111, False, False, 1
00110000011001100111, 00111, 0011000001100110011100111, 0011000001100110011100111, True, True, 0
10100001111000110000, 10001, 1010000111100011000010001, 1010000111100011000010001, True, True, 0
00110000011111101100, 01010, 0011000001111110110001010, 0011000001111110110001010, True, True, 0
00000100000110001110, 00011, 0000010000011000111000011, 0000010000011000111000011, True, True, 0
10001001010001100000, 00000, 1000100101000110000000000, 1000100101000110000000000, True, True, 0
10000110111100010010, 10011, 1000011011110001001010011, 1000011011110001001010011, True, True, 0
10110001010101010011, 11000, 1011000101010101001111000, 1011000101010101001111000, True, True, 0
10001110101101010111, 10111, 1000111010110101011110111, 1000111010110101011110111, True, True, 0
01100110011001110011, 00100, 0110011001100111001100100, 0110011001100111001100100, True, True, 0
00010110101001111111, 11000, 0001011010100111111111000, 0001011010100111111111000, True, True, 0
01000111100101100101, 10010, 0100011110010110010110010, 0100011110010110010110010, True, True, 0
00001110110100110000, 11101, 0000111011010011000011101, 0000111011010011000011101, True, True, 0
11000001001101101000, 00011, 1100000100110110100000011, 1100000100110110100000011, True, True, 0
10111011110101010100, 00110, 1011101111010101010000110, 1011101111010101010000110, True, True, 0
10000111010101111001, 11010, 1000011101010111100111010, 1000011101010111100111010, True, True, 0
11010101100000010111, 11110, 1101010110000001011111110, 1101010110000001011111110, True, True, 0
11100011101110110100, 10100, 1110001110111011010010100, 1110001110111011010010100, True, True, 0
00110101000010010011, 01111, 0011010100001001001101111, 0011010100001001001101111, True, True, 0
01000100001110111111, 00100, 0100010000111011111100100, 0100010000111011111100100, True, True, 0
01000101110100000001, 11001, 0100010111010000000111001, 0100010111010000000111001, True, True, 0
00010000010000000010, 00001, 0001000001000000001000001, 0001000001000000001000001, True, True, 0
11100010001010001010, 00011, 1110001000101000101000011, 1110001000101000101000011, True, True, 0
00010100111001110101, 11000, 0001010011100111010111000, 0001010011100111010111000, True, True, 0
00100100101111101111, 01100, 0010010010111110111101100, 0010010010111110111101100, True, True, 0
01010011000011110001, 11100, 0101001100001111000111100, 0101001100001111000111100, True, True, 0
01000101001100110100, 00000, 0100010100110011010000000, 0100010100110011010000000, True, True, 0
00111100011110000100, 10000, 0011110001111000010010000, 0011110001111000010010000, True, True, 0
11101001111001110110, 01000, 1110100111100111011001000, 1110100111100111011001000, True, True, 0
11011101010110100011, 01100, 1101110101011010001101100, 1101110101011010001101100, True, True, 0
00001001100101001011, 01100, 0000100110010100101101100, 0000100110010100101101100, True, True, 0
01011000010110000001, 11001, 0101100001011000000111001, 0101100001011000000111001, True, True, 0
11111010101100000101, 01101, 1111101010110000010101101, 1111101010110000010101101, True, True, 0
11000000111110110001, 01100, 1100000011111011000101100, 1100000011111011000101100, True, True, 0
01001010111101011001, 01011, 0100101011110101100101011, 0100101011110101100101011, True, True, 0
11010010011011111100, 10010, 1101001001101111110010010, 1101001001101111110010010, True, True, 0
11101100101110000110, 11100, 1110110010111000011011100, 1110110010111000011011100, True, True, 0
10111010110000001111, 00100, 1011101011000000111100100, 1011101011000000111100100, True, True, 0
01100111010110000001, 00100, 0110011101011000000100100, 0110011101011000000100100, True, True, 0
11001001100000011011, 11001, 1100100110000001101111001, 1100100110000001101111001, True, True, 0
10001000100000110110, 00100, 1000100010000011011000100, 1000100010000011011000100, True, True, 0
00100011101110010001, 00010, 0010001110111001000100010, 0010001110111001000100010, True, True, 0
01100001011011111111, 11001, 0110000101101111111111001, 0110000101101111111111001, True, True, 0
11010101011111001010, 01001, 1101010101111100101001001, 1101010101111100101001001, True, True, 0
10000011010111111111, 00010, 1000001101011111111100010, 1000001101011111111100010, True, True, 0
00101101011100100111, 11010, 0010110101110010011111010, 0010110101110010011111010, True, True, 0
10100100000110101101, 11100, 1010010000011010110111100, 1010010000011010110111100, True, True, 0
01111110011110001111, 10010, 0111111001111000111110010, 0111111001111000111110010, True, True, 0
10010000000100001101, 00011, 1001000000010000110100011, 1001000000010000110100011, True, True, 0
11100010001011010001, 01000, 1110001000101101000101000, 1110001000101101000101000, True, True, 0
10001110100011011101, 10101, 1000111010001101110110101, 1000111010001101110110101, True, True, 0
10001111000101011100, 10111, 1000111100010101110010111, 1000111100010101110010111, True, True, 0
01110111110111000000, 00010, 0111011111011100000000010, 0111011111011100000000010, True, True, 0
00011010011011100001, 11001, 0001101001101110000111001, 0001101001101110000111001, True, True, 0
10001001001101100101, 01000, 1000100100110110010101000, 1000100100110110010101000, True, True, 0
00010111110001100111, 01000, 0001011111000110011101000, 0001011111000110011101000, True, True, 0
10011010000011000000, 01001, 1001101000001100000001001, 1001101000001100000001001, True, True, 0
11111100110000110011, 01001, 1111110011000011001101001, 1111110011000011001101001, True, True, 0
00100011010001111001, 10101, 0010001101000111100110101, 0010001101000111100110101, True, True, 0
10011111100000010111, 10101, 1001111110000001011110101, 1001111110000001011110101, True, True, 0
10111011110000011110, 01100, 1011101111000001111001100, 1011101111000001111001100, True, True, 0
